reference_number,local_name,temperature_c,conductivity_m_s_cm,turbidity,sampling_method,method_number,pass_number,ef_seconds,site_length,avg_wetted_width_m,enclosure,voltage,frequency,pulse,make,model,species,life_stage,age,total_num,min_length,max_length,comments
1,8530_ds_ef1,6,172,clear,electrofishing,,1,982,30,2.8,partial enclosure,250,60,,other,halltech HT2000,Dolly Varden,parr,,2,76,98,
1,8530_ds_ef1,6,172,clear,electrofishing,,1,982,30,2.8,partial enclosure,250,60,,other,halltech HT2000,Rainbow Trout,fry,,42,41,56,
1,8530_ds_ef1,6,172,clear,electrofishing,,1,982,30,2.8,partial enclosure,250,60,,other,halltech HT2000,Rainbow Trout,parr,,13,78,109,
1,8530_ds_ef1,6,172,clear,visual observation above water,,1,982,30,2.8,partial enclosure,250,60,,other,halltech HT2000,Fish Unidentified Species,fry,,1,40,40,
2,8530_us_ef1,6,172,clear,electrofishing,,1,753,35,1.8,partial enclosure,250,60,,other,halltech HT2000,Cutthroat Trout,parr,,1,110,110,
2,8530_us_ef1,6,172,clear,electrofishing,,1,753,35,1.8,partial enclosure,250,60,,other,halltech HT2000,Cutthroat Trout,juvenile,,1,114,114,
2,8530_us_ef1,6,172,clear,electrofishing,,1,753,35,1.8,partial enclosure,250,60,,other,halltech HT2000,Cutthroat Trout /Rainbow Trout  hybrid,parr,,6,77,94,
2,8530_us_ef1,6,172,clear,electrofishing,,1,753,35,1.8,partial enclosure,250,60,,other,halltech HT2000,Dolly Varden,fry,,3,53,54,
2,8530_us_ef1,6,172,clear,electrofishing,,1,753,35,1.8,partial enclosure,250,60,,other,halltech HT2000,Dolly Varden,parr,,3,73,76,
2,8530_us_ef1,6,172,clear,electrofishing,,1,753,35,1.8,partial enclosure,250,60,,other,halltech HT2000,Rainbow Trout,fry,,20,36,52,
2,8530_us_ef1,6,172,clear,electrofishing,,1,753,35,1.8,partial enclosure,250,60,,other,halltech HT2000,Rainbow Trout,parr,,4,75,87,
2,8530_us_ef1,6,172,clear,visual observation above water,,1,753,35,1.8,partial enclosure,250,60,,other,halltech HT2000,Fish Unidentified Species,fry,,3,40,50,
3,198935_ds_ef1,5,236,clear,electrofishing,,1,439,8,1.1,partial enclosure,250,60,,other,halltech HT2000,Cutthroat Trout,parr,,4,86,95,
3,198935_ds_ef1,5,236,clear,electrofishing,,1,439,8,1.1,partial enclosure,250,60,,other,halltech HT2000,Cutthroat Trout,adult,,1,146,146,
3,198935_ds_ef1,5,236,clear,electrofishing,,1,439,8,1.1,partial enclosure,250,60,,other,halltech HT2000,Dolly Varden,parr,,1,94,94,
3,198935_ds_ef1,5,236,clear,electrofishing,,1,439,8,1.1,partial enclosure,250,60,,other,halltech HT2000,Rainbow Trout,fry,,12,47,62,
3,198935_ds_ef1,5,236,clear,electrofishing,,1,439,8,1.1,partial enclosure,250,60,,other,halltech HT2000,Rainbow Trout,parr,,21,70,110,
6,198935_us_ef1,5,236,clear,electrofishing,,1,579,30,1.6,partial enclosure,250,60,,other,halltech HT2000,Cutthroat Trout,adult,,1,146,146,
6,198935_us_ef1,5,236,clear,electrofishing,,1,579,30,1.6,partial enclosure,250,60,,other,halltech HT2000,Cutthroat Trout /Rainbow Trout  hybrid,fry,,1,46,46,
6,198935_us_ef1,5,236,clear,electrofishing,,1,579,30,1.6,partial enclosure,250,60,,other,halltech HT2000,Rainbow Trout,fry,,23,46,60,
6,198935_us_ef1,5,236,clear,electrofishing,,1,579,30,1.6,partial enclosure,250,60,,other,halltech HT2000,Rainbow Trout,parr,,16,69,105,
6,198935_us_ef1,5,236,clear,electrofishing,,1,579,30,1.6,partial enclosure,250,60,,other,halltech HT2000,Rainbow Trout,juvenile,,1,114,114,
6,198935_us_ef1,5,236,clear,electrofishing,,1,579,30,1.6,partial enclosure,250,60,,other,halltech HT2000,Rainbow Trout,adult,,1,150,150,
6,198935_us_ef1,5,236,clear,visual observation above water,,1,579,30,1.6,partial enclosure,250,60,,other,halltech HT2000,Fish Unidentified Species,juvenile,,1,120,120,
8,195943_ds_ef1,7.1,535,clear,electrofishing,,1,328,30,2.1,partial enclosure,150,60,,other,halltech HT2000,Cutthroat Trout,adult,,1,159,159,
8,195943_ds_ef1,7.1,535,clear,electrofishing,,1,328,30,2.1,partial enclosure,150,60,,other,halltech HT2000,Rainbow Trout,fry,,1,51,51,
8,195943_ds_ef1,7.1,535,clear,visual observation above water,,1,328,30,2.1,partial enclosure,150,60,,other,halltech HT2000,Fish Unidentified Species,fry,,1,50,50,
9,195943_us_ef1,7.1,535,clear,electrofishing,,1,,40,1.4,partial enclosure,150,60,,other,halltech HT2000,NFC,,,1,,,
11,58264_ds_ef1,6,88,clear,electrofishing,,1,720,25,3.3,partial enclosure,350,60,,other,halltech HT2000,Cutthroat Trout /Rainbow Trout  hybrid,parr,,2,85,87,
11,58264_ds_ef1,6,88,clear,electrofishing,,1,720,25,3.3,partial enclosure,350,60,,other,halltech HT2000,Dolly Varden,parr,,1,93,93,
